# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_tot              
       2.387215173470e-04      -8.320883555528e-03      -6.254385260840e-03      -6.254500425754e-03      -8.318706207444e-03      -6.255322945511e-03      -6.313385203802e-03       6.120128187903e-01       5.967330352336e-01      -4.150016315616e-08      -3.658828318778e-11      -4.419715061163e-08      -1.610320469550e-09 
       2.499721158481e-04      -9.121598460405e-03      -6.857695330311e-03      -6.857833787823e-03      -9.118981375874e-03      -6.858733730727e-03      -6.922338664539e-03       6.119962845936e-01       5.967220034051e-01      -4.988627734729e-08      -4.398790687138e-11      -5.312712021070e-08      -1.935708048477e-09 
       2.617529387212e-04      -9.999146935747e-03      -7.519191096116e-03      -7.519357556881e-03      -9.996001381183e-03      -7.520342000304e-03      -7.590012427615e-03       6.119781579358e-01       5.967099081832e-01      -5.996609394841e-08      -5.288384789470e-11      -6.386027297908e-08      -2.326807270453e-09 
       2.740889746712e-04      -1.096085737346e-02      -8.244482042182e-03      -8.244682173392e-03      -1.095707672779e-02      -8.245758821016e-03      -8.322065569307e-03       6.119582850345e-01       5.966966471021e-01      -7.208138292095e-08      -6.357997938792e-11      -7.676036078621e-08      -2.796876584229e-09 
       2.870063900842e-04      -1.201474816941e-02      -9.039718028302e-03      -9.039958635510e-03      -1.201020435017e-02      -9.041135793390e-03      -9.124701915750e-03       6.119364990424e-01       5.966821077260e-01      -8.664281340293e-08      -7.643757733083e-11      -9.226441173237e-08      -3.361845852909e-09 
       3.005325845302e-04      -1.316959089478e-02      -9.911641207354e-03      -9.911930477525e-03      -1.316413002300e-02      -9.913217169016e-03      -1.000472232231e-02       6.119126151059e-01       5.966661670641e-01      -1.041437559003e-07      -9.189550703939e-11      -1.108974316594e-07      -4.040853161877e-09 
       3.146962488811e-04      -1.443497882896e-02      -1.086764300003e-02      -1.086799077461e-02      -1.442841605291e-02      -1.086939674926e-02      -1.096958199264e-02       6.118864321878e-01       5.966486901230e-01      -1.251769456752e-07      -1.104790401266e-10      -1.332900971607e-07      -4.856889690855e-09 
       3.295274261680e-04      -1.582140131009e-02      -1.191582646942e-02      -1.191624458378e-02      -1.581351458264e-02      -1.191778038495e-02      -1.202745323687e-02       6.118577285175e-01       5.966295295402e-01      -1.504544061667e-07      -1.328216408936e-10      -1.601999397636e-07      -5.837572905888e-09 
       3.450575753062e-04      -1.734032422967e-02      -1.306507470670e-02      -1.306557738361e-02      -1.733084687380e-02      -1.306725434486e-02      -1.318729423265e-02       6.118262635163e-01       5.966085227725e-01      -1.808314575151e-07      -1.596808720130e-10      -1.925367968602e-07      -7.016075537957e-09 
       3.613196378243e-04      -1.900427721225e-02      -1.432512570503e-02      -1.432573005388e-02      -1.899288892451e-02      -1.432756040081e-02      -1.445892431826e-02       6.117917717232e-01       5.965854926699e-01      -2.173353522715e-07      -1.919734784973e-10      -2.313933153369e-07      -8.432238311083e-09 
       3.783481077373e-04      -2.082694756172e-02      -1.570665444466e-02      -1.570738101658e-02      -2.081326377453e-02      -1.570937781106e-02      -1.585310644248e-02       6.117539618767e-01       5.965602435149e-01      -2.611998634894e-07      -2.307918637973e-10      -2.780815202216e-07      -1.013390580710e-08 
       3.961791047127e-04      -2.282328187138e-02      -1.722136274413e-02      -1.722223626166e-02      -2.280684080149e-02      -1.722441352560e-02      -1.738163746694e-02       6.117125185187e-01       5.965325635626e-01      -3.139065232474e-07      -2.774601085187e-10      -3.341767498708e-07      -1.217852984394e-08 
       4.148504506860e-04      -2.500959514828e-02      -1.888207774382e-02      -1.888312792548e-02      -2.498984240717e-02      -1.888550061016e-02      -1.905744700229e-02       6.116670918835e-01       5.965022184636e-01      -3.772342041247e-07      -3.335639812446e-10      -4.015701579263e-07      -1.463508663189e-08 
